,review,playtime_at_review,num_games_owned,voted_up,review_length,processed_review
10,"FOR ALL THE DEVS THAT HAVE MICRO-TRANSACTIONS ETC;

You know your doing something right when other developers like EA/Ubisoft/Blizzard, etc, come out saying, ""Baldur's Gate 3 should not be the new standard"". 
To put it simply, they are just mad because Larian Studios will not have a battle-pass, micro-transactions and expensive DLC's.
Which after all, is all us gamer's want. Just a polished game with unlimited hours of fun. Well done Larian Studios! You can tell you actually care about games, and have bought back what it felt like 15 years ago for me.

EDIT:
reading through the comments and you can see the majority rules. when i speak of DLC's i'm referring to things that should already of been included in the base game for example, Total War Warhammer (great game btw) should, in my opinion, already include the chaos race in the base game. i shouldn't have to pay an extra $30 for this particular race, (once again just my opinion). now id happily pay for an ""expensive"" DLC/add-on whatever you want to call it for BG3, especially if its the same quality as Blood and Wine.

Narrator: you sense something staring at you from afar, something pulls your gaze from the screen and, as you slowly turn your head your good eye catches the time. your gaze is now drawn to your wife (Raphael) as you realise you have been playing for almost 8 hours straight.
1. give in to the tadpole and go mow the lawns 
2. (INTELLIGENCE) broker a deal with the wife to continue playing
3. (PALADIN) it is by your oath that you will push through whatever evil stands in your way and continue
4. f#$k its almost time for work....",112.4,0,1,288,devs micro transaction etc know something right developer like ea ubisoft blizzard etc come saying baldur gate new standard put simply mad larian studio battle pas micro transaction expensive dlc u gamer want polished game unlimited hour fun well done larian studio tell actually care game bought back felt like year ago edit reading comment see majority rule speak dlc referring thing already included base game example total war warhammer great game btw opinion already include chaos race base game pay extra particular race opinion id happily pay expensive dlc add whatever want call bg especially quality blood wine narrator sense something staring afar something pull gaze screen slowly turn head good eye catch time gaze drawn wife raphael realise playing almost hour straight give tadpole go mow lawn intelligence broker deal wife continue playing paladin oath push whatever evil stand way continue almost time work
11,The worm in my brain says it is good.,15.15,0,1,9,worm brain say good
12,It's like playing D&D in real life except your players don't cancel last minute,199.3,445,1,14,like playing real life except player cancel last minute
13,"➤ No microtransactions
➤ No DRM
➤ TONS of content (100+ hours without lazy and repetitive content)
➤ TONS of choices, consequences and different ways to play
➤ Amazing writing
➤ Amazing attention to details
➤ Amazing voice acting
➤ Best written companions, in-depth characters
➤ Beautiful graphics, great animations and facial animations
➤ Good NPCs design
➤ Single-Player! (optional co-op)
➤ Devs listening to feedback and releasing quick updates
➤ No CLOWNS in community!

Game of the Year!
PLEASE Larian never change!

BIG full game + Made with LOOOVE!
Learn Blizzard, Bethesda, EA, WB, Ubisoft",109.58333333333333,0,1,96,microtransactions drm ton content hour without lazy repetitive content ton choice consequence different way play amazing writing amazing attention detail amazing voice acting best written companion depth character beautiful graphic great animation facial animation good npc design single player optional co op devs listening feedback releasing quick update clown community game year please larian never change big full game made looove learn blizzard bethesda ea wb ubisoft
14,This is WAYYYYYY cheaper than a heroin addiction. 10/10,123.31666666666666,64,1,9,wayyyyyy cheaper heroin addiction
15,"Within the last 2 hours of game time I've managed to:
Seduce an Ogre
Start a civil war
Receive brain surgery from a poet
Eat several dozen brain worms
Kiss a lizard
Now if you'll excuse me I need to get back to the game.",36.583333333333336,859,1,45,within last hour game time managed seduce ogre start civil war receive brain surgery poet eat several dozen brain worm kiss lizard excuse need get back game
16,The experience playing this game is like eating a medium-rare steak after years of eating out of dumpsters.,77.58333333333333,0,1,18,experience playing game like eating medium rare steak year eating dumpster
17,"60 dollars for a microtransaction free, battle pass free, subscription free, non-live service game in the year of our lord 2023. . . Wild.

",1.0,202,1,24,dollar microtransaction free battle pas free subscription free non live service game year lord wild
18,"Play your way - don't use a guide, feel the world react to your choices. Hit people with a salami.",45.95,0,1,20,play way use guide feel world react choice hit people salami
19,"This game is amazing, deserved game of the year 110%.
And the actor of Astarion deserved his award aswell but i would want to give award to everyone behind this masterpiece of a game. A game that def is worth the money a true AAAA++++ title.",224.78333333333333,1156,1,46,game amazing deserved game year actor astarion deserved award aswell would want give award everyone behind masterpiece game game def worth money true aaaa title
20,"Cheaper than heroin, with the same crippling effects",73.2,146,1,8,cheaper heroin crippling effect
21,I have ALS it is very easy to play with one hand,113.35,0,1,12,al easy play one hand
22,Its DnD for people with no friends!,24.366666666666667,0,1,7,dnd people friend
23,you can pet the dog,60.21666666666667,629,1,5,pet dog
24,"This is a game that gamers want, no monetization bs, full experience for 1 price and a high level of collaboration between devs and players. This is the new standard that all other devs/publishers should meet",24.733333333333334,0,1,36,game gamers want monetization b full experience price high level collaboration devs player new standard devs publisher meet
25,i stopped using cocaine thats how deeply involved i am in this game,57.2,139,1,13,stopped using cocaine thats deeply involved game
26,"I had no intention of playing Baldur's Gate 3; I barely played 1 and missed 2.  And I just don't have 200 hours to sink into an 80 GB RPG at my age.  I enjoyed Divinity: Original Sin and couch co-op'd with my wife in D:OS 2, but we have a mortgage and a dog and no time.

Then I read the Tweet.  You know the one: the prominent game developer who said that we cannot allow Larian to define our expectations of RPGs.  Oh, really?  I immediately bought the game and spent hours downloading it out of pure, unadulterated spite.

I am 3 hours in.  Three.  I am blown away.  I spent the first hour creating my character.  I pulled out my Dungeons & Dragons 5th Edition Player's Handbook and marveled at what BG3 had enabled me to do - this is the full blown 5E character creation.  The maniacs at Larian  took Divinity: Original Sin and made it into D&D 5E, full stop.  Amazing.

And then I played for a couple of hours.

I haven't fallen in love with a game like this since Dragon Age: Origins and there is so much more depth to BG3 in the short time I've played.  Case in point: I found a lockpick, broke into a crypt, looted a burial site and was promptly incinerated by a flame trap over a greased floor.  Thank you, Larian, for reminding me of the F5 key.

The graphics are amazing.  The voice work is the best.  The cut scenes are riveting and that's usually when I go make another whisky!  The sound design is unbelievable.  Why am I noticing sound design?  I don't care about sound design!

I've misclicked so many times.  There's so much to click!  I've died in so many ways.  There are so many ways to die!  There are so many bugs, but I don't even care because in a game as complex and deep as this, you're going to experience lots and lots of FUN. 

Larian, you've done it.  You've made a game so incredible that other developers are banding together to warn us not to play your magnum opus or we won't enjoy the next Stranger Things Click Quest game or whatever garbage they're shoveling out.  

I cannot wait to spend days in Baldur's Gate 3.


* Edit 8/1/2023 after ~60 hours *

Since this review got some attention, let me give you an update after about 60 hours of Early Access.  My initial review is, obviously, hyperbolic, but that was my real-time reaction to finding a truly great game in a genre and style that I thought had been abandoned by game producers who are more interested in games as service, micro-transactions and shooters.

The best review of BG3 I could give is that this is the game I've been hoping for since Dragon Age: Origins.  I play games for systems, not so much story, and I really like both the systems and the story of this game.  If I really like a game, I look forward to starting over and trying something new (I play XCOM 2 and Dwarf Fortress a little bit.)  This game also scratches that itch, which seems strange to say about a story-driven RPG, but it really is a game that encourages you to experiment.

As it stands, on the verge of release, this game is a 10/10 for me and in my pantheon of favorites.

(I don't work for Larian or have anything to do with them other than playing D:OS.)",3.283333333333333,0,1,588,intention playing baldur gate barely played missed hour sink gb rpg age enjoyed divinity original sin couch co op wife o mortgage dog time read tweet know one prominent game developer said allow larian define expectation rpgs oh really immediately bought game spent hour downloading pure unadulterated spite hour three blown away spent first hour creating character pulled dungeon dragon th edition player handbook marveled bg enabled full blown character creation maniac larian took divinity original sin made full stop amazing played couple hour fallen love game like since dragon age origin much depth bg short time played case point found lockpick broke crypt looted burial site promptly incinerated flame trap greased floor thank larian reminding key graphic amazing voice work best cut scene riveting usually go make another whisky sound design unbelievable noticing sound design care sound design misclicked many time much click died many way many way die many bug even care game complex deep going experience lot lot fun larian done made game incredible developer banding together warn u play magnum opus enjoy next stranger thing click quest game whatever garbage shoveling wait spend day baldur gate edit hour since review got attention let give update hour early access initial review obviously hyperbolic real time reaction finding truly great game genre style thought abandoned game producer interested game service micro transaction shooter best review bg could give game hoping since dragon age origin play game system much story really like system story game really like game look forward starting trying something new play xcom dwarf fortress little bit game also scratch itch seems strange say story driven rpg really game encourages experiment stand verge release game pantheon favorite work larian anything playing o
27,Try to go into the game as blind as you can.,230.38333333333333,0,1,11,try go game blind
28,"Support Larian. 
Buy this game if you haven't. Buy it right now and buy the deluxe version. 
Also buy it for your PS5.
Ignore stupid companies and devs saying oh, this shouldn't be a new standard for RPG going forward.

BG3 is the kind of game we, players have been waiting for so long.
NO MICRO-TRANSACTION, no half-cooked trash, FUN AND ENJOYABLE GAME. 
We consumers decide what the new standard is. 
If your game is good, we buy and we play. Don't tell us what to think and what to play.

SUPPORT LARIAN.",131.31666666666666,0,1,93,support larian buy game buy right buy deluxe version also buy p ignore stupid company devs saying oh new standard rpg going forward bg kind game player waiting long micro transaction half cooked trash fun enjoyable game consumer decide new standard game good buy play tell u think play support larian
29,This game ruined my life,157.05,0,1,5,game ruined life
30,"This is how you show up devs like Ubisoft with no imagination.
This is how you show up devs like EA who love their loot boxes
This is how you show up devs like Blizzard with season passes and real money shops
This is how you show up every dev demanding online connections for single player games

This is how you create a game  that ticks the type of boxes fans want ticked
This is giving you a complete game for your money
This is giving you a quality experience
This is delivering what was promised
This is Larian.

Thank you for Baldurs Gate 3
End of turn, waiting for other devs to roll a 20
",33.53333333333333,239,1,116,show devs like ubisoft imagination show devs like ea love loot box show devs like blizzard season pass real money shop show every dev demanding online connection single player game create game tick type box fan want ticked giving complete game money giving quality experience delivering promised larian thank baldurs gate end turn waiting devs roll
31,"Baldur's Gate 3 is an excellent game. I haven't enjoyed a game this much since I was a kid playing Dragon Age for the first time. Everything is so well-thought-out, down to the smallest detail. You can play alone or with friends, and you can choose to be a force for good or chaos. Just be prepared to read a lot of text and enjoy the ride.

Here are some of the things I love about Baldur's Gate 3:

The story is engaging and full of twists and turns.The characters are well-developed and relatable.The combat is challenging and rewarding.The world is vast and full of secrets to discover.

If you're a fan of role-playing games, then Baldur's Gate 3 is a must-play. It's an epic adventure that will keep you hooked for hours on end.

5/5 parasites

",8.716666666666667,124,1,826,baldur gate excellent game enjoyed game much since kid playing dragon age first time everything well thought smallest detail play alone friend choose force good chaos prepared read lot text enjoy ride thing love baldur gate story engaging full twist turn character well developed relatable combat challenging rewarding world vast full secret discover fan role playing game baldur gate must play epic adventure keep hooked hour end parasite                                                                                                                                                                            
32,"In a world of companies like EA, Activision Blizzard or Ubisoft, an independent studio like Larian is a breath of fresh air.

The Divinity: Original Sin saga was already impressive, but Baldur's Gate III takes it to another level. Even in the Early Access stage, you can feel the passion that was poured into the game.

Please, never change Larian.

P.S: It's impossible to get a refund, because the character creation alone will take at least a couple of hours.

edit:
My Game of the Year Award.",8.083333333333334,3063,1,87,world company like ea activision blizzard ubisoft independent studio like larian breath fresh air divinity original sin saga already impressive baldur gate iii take another level even early access stage feel passion poured game please never change larian impossible get refund character creation alone take least couple hour edit game year award
33,You know this game is a 10/10 when other AAA devs dogpile on it for being too good and making them all look bad.,21.05,0,1,24,know game aaa devs dogpile good making look bad
34,"After finishing the game i just deinstalled every other game on my PC because i couldnt bare the thought of having trash like League of Legends installed on the same machine as this masterpiece.
",236.5,0,1,34,finishing game deinstalled every game pc couldnt bare thought trash like league legend installed machine masterpiece
35,"Im not a gamer, but i like this game, i can play on easy mode and just relax and have fun :)",15.9,0,1,22,im gamer like game play easy mode relax fun
36,"This is absolutely my GOTY. One of the best CRPGs of all time, perhaps the best mainstream CRPG ever made. My playtime is real (minus the 12 hours I spent in EA), so you can see the game is HUGE. And all that playtime is filled to the brim with well-executed content.

So if you like RPGs, tactics, huge adventures, and bears, the game is a must-buy. It's not a question. The only real question is: is [i]Baldur's Gate 3[/i] a 97/100?

Short answer: Act 1 absolutely is. And Act 1 took me 56 hours. If the game [b]only[/b] consisted of Act 1 with some sort of ending, it would already have been brilliant. Think about it: less than one third of [i]Baldur's Gate 3[/i] is already a better game than most other CRPGs on the market. How is it even possible?

Later, however, it starts to crumble under its own weight — and I don't just mean the bugs. Those will be fixed; the meaninglessness of many final choices and lack of companion interaction likely won't. 

And it's a damn shame.

[b]GAMEPLAY[/b]
Larian RPGs aren't simply RPGs, they border isometric immersive sims, and it's a great concept, brilliantly executed here. You have your ordinary RPG fare: classes, abilities, XP, lockpicking, traps. And then you have a simulated world that you can interact with in creative and sensible ways. Can't pick a chest? Just take it away to open in camp. A boss is too tough? Surround him with explosive barrels pre-encounter and blow to smithereens. Or befriend him — you can side and kill any faction in the game. Can't reach someplace? Aside from various teleportation spells, you can also just carry a bunch of boxes to build a tower wherever you need.

Traversal is a separate — and unique — feature of the game. Most CRPGs are flat, apart from terrain in some battlefields, sometimes. Larian uses the Z axis to its full extent. [i]Baldur's Gate 3[/i] has interesting jumping puzzles (what right does a CRPG even have to have those?). Some of its areas, like the Monastery, feel like legacy dungeons from a FromSoft game, and I mean it in the best way possible. They're [b]fun[/b] to explore and find routes through, secrets in. It's a game as much about exploration as it is about story and combat.

(Not to mention that it uses verticality for spectacular visual impressions in some areas.)

Another critical aspect of [i]Baldur's Gate 3[/i]'s exploration is just how dense it is. Even the emptier areas are [i]packed[/i] with content. You find characters, secrets, reactivity, small stories. Figuring out a secret sometimes requires unique interactions, like reading a scroll in a certain location or casting a specific spell. It's brilliant, and fun, and the best aspect of the game by far. 

No other product on the market offers anything remotely comparable.

[b]STORY[/b]
It's hit and miss.

I'd put it this way: in this game, Acting > Characters > Story. [i]Baldur's Gate 3[/i] is incredibly well-acted, I can't remember a single character, even minor, that would be presented as anything less than good, and most main characters are just charisma personified — to the point where I was disappointed I couldn't have more interactions with someone like Ketheric. So whenever a character arc struggles a bit (being too cliche or too melodramatic), the acting makes up for it. And since most characters are interesting enough, their personal stories make up for the less brilliant part of the overall narrative. So in the end, it works. 

Writing has never been Larian's strongest suit. Since you can befriend or kill any character in the game, their writing in Divinity tended to be skin-deep — and it's definitely MUCH better here. So that's progress.

The tone of [i]Baldur's Gate 3[/i] would probably not be for everyone. It rarely takes itself too seriously — and it's at its best when it doesn't. The small comedic storylets (like with the smart orge) and characters (like Minsc) just ooze charm. The erotic scenes are honesly very cool — if, again, you don't take yourself too seriously. With many of them, you're not meant to.

It's also very black-and-white, almost outdated in this regard. You can absolutely have an evil playthrough, but do understand that ""evil"" means ""cackling sadistic evil that enjoys splattering squirrels and forcing people to kill themselves with their own daggers in front of you."" Good and evil are objective qualities here — and there is no grey area, no attempt at deconstruction. It's all fun if you go with it; just keep it in mind.

The game's pacing is also great. You need to rest from time to time, usually after harder fights. And most long rests launch cutscenes that explore one story or another: of your party members, weird urges, or mysterious Guardian. Companions also have a LOT of reactivity and interjections in random events. It's all mixed up to create a very natufal flow. I don't think a lot of players even notice it — rare occasions of unique reactivily (like characters having reactions to having been killed and resurrected by you) are flashier. But don't underrate the importance of overall pacing. Pacing can make or break a game.

[b]SO WHAT IS WRONG HERE?[/b]
Act 1 is absolutely brilliant and one of the best games I've ever played.

Act 2 makes some odd choices, but at least they're clearly artistic. After a dense location filled to the brim with content and reactivity, you find yourself in a huge open area with trash mob ambushes. I appreciate the Bloodborne-esque aesthetics as much as the next gal, but why does the game willingly forefit its best assets: the interesting secret-packed exploration, the reactivity, the interlocking events, the verticality?

Hint for future players: defy your natural instincts and follow the main story in Act 2 instead of exploring everything before getting to it. It'll send you off to explore anyway, but in a more fun way.

Act 3 is... huge. It's probably bigger than Acts 1 and 2 combined — which makes sense, you expect the city to be lively. And the stories are still all right in theory, but — well, half of them just don't deliver. 

The game fails to fulfill its ambitions.

You can side with [spoiler]Gortash[/spoiler] and his sensible evil proposal — except all you get is the inability to finish some companion quests and discover perhaps the biggest twist in the story, you can't get a ""normal evil ruler"" ending. That deal with the devil you made? A short cutscene in the end and nothing more. [spoiler]A non-illithid can't control the Netherbrain[/spoiler], except if you make a treacherous choice in the final cutscene, where you suddenly totally can. It feels good to gather allies for the final battle, but each of them only utters a single phrase — less than random characters in the street!

Generally speaking, siding with evil never feels like an equal choice past Act 1. It feels like a way to skip a boss fight. You're never rewarded by content for it.

You can't even discuss the final events with my whole party — only the three characters you took with you! How does that make any sense! Not to mention that companions have little to say over the course of the whole act, and there are zero to none unique interactions between them (like the conflict between Lae'zel and Shadowheart in Act 1) — and this is in the part of the story where I want their insights the most, to see how they've changed.

Don't get me wrong, the final conflict is still... all right. It offers no surprises and has too many moving parts, and your mysterious Guardian plays a role too technical and not compelling enough. And you're very much railroaded into the good ending. But it's still interesting and epic compared to other games.

It's just that my expectations were set much higher. Because Act 1 was so brilliant.

[b]CONCLUSION[/b]
Still one of the best CRPGs ever. Buy it. Play it.

Just temper the expectations Act 1 sets. The game won't hold to the same insane standard of quality, and honestly, it's okay. Even 50 hours of that quality is a treasure. I loved it.",220.51666666666668,924,1,1381,absolutely goty one best crpgs time perhaps best mainstream crpg ever made playtime real minus hour spent ea see game huge playtime filled brim well executed content like rpgs tactic huge adventure bear game must buy question real question baldur gate short answer act absolutely act took hour game consisted act sort ending would already brilliant think le one third baldur gate already better game crpgs market even possible later however start crumble weight mean bug fixed meaninglessness many final choice lack companion interaction likely damn shame gameplay larian rpgs simply rpgs border isometric immersive sims great concept brilliantly executed ordinary rpg fare class ability xp lockpicking trap simulated world interact creative sensible way pick chest take away open camp bos tough surround explosive barrel pre encounter blow smithereens befriend side kill faction game reach someplace aside various teleportation spell also carry bunch box build tower wherever need traversal separate unique feature game crpgs flat apart terrain battlefield sometimes larian us axis full extent baldur gate interesting jumping puzzle right crpg even area like monastery feel like legacy dungeon fromsoft game mean best way possible fun explore find route secret game much exploration story combat mention us verticality spectacular visual impression area another critical aspect baldur gate exploration dense even emptier area packed content find character secret reactivity small story figuring secret sometimes requires unique interaction like reading scroll certain location casting specific spell brilliant fun best aspect game far product market offer anything remotely comparable story hit miss put way game acting character story baldur gate incredibly well acted remember single character even minor would presented anything le good main character charisma personified point disappointed interaction someone like ketheric whenever character arc struggle bit cliche melodramatic acting make since character interesting enough personal story make le brilliant part overall narrative end work writing never larian strongest suit since befriend kill character game writing divinity tended skin deep definitely much better progress tone baldur gate would probably everyone rarely take seriously best small comedic storylets like smart orge character like minsc ooze charm erotic scene honesly cool take seriously many meant also black white almost outdated regard absolutely evil playthrough understand evil mean cackling sadistic evil enjoys splattering squirrel forcing people kill dagger front good evil objective quality grey area attempt deconstruction fun go keep mind game pacing also great need rest time time usually harder fight long rest launch cutscenes explore one story another party member weird urge mysterious guardian companion also lot reactivity interjection random event mixed create natufal flow think lot player even notice rare occasion unique reactivily like character reaction killed resurrected flashier underrate importance overall pacing pacing make break game wrong act absolutely brilliant one best game ever played act make odd choice least clearly artistic dense location filled brim content reactivity find huge open area trash mob ambush appreciate bloodborne esque aesthetic much next gal game willingly forefit best asset interesting secret packed exploration reactivity interlocking event verticality hint future player defy natural instinct follow main story act instead exploring everything getting send explore anyway fun way act huge probably bigger act combined make sense expect city lively story still right theory well half deliver game fails fulfill ambition side spoiler gortash spoiler sensible evil proposal except get inability finish companion quest discover perhaps biggest twist story get normal evil ruler ending deal devil made short cutscene end nothing spoiler non illithid control netherbrain spoiler except make treacherous choice final cutscene suddenly totally feel good gather ally final battle utters single phrase le random character street generally speaking siding evil never feel like equal choice past act feel like way skip bos fight never rewarded content even discus final event whole party three character took make sense mention companion little say course whole act zero none unique interaction like conflict lae zel shadowheart act part story want insight see changed get wrong final conflict still right offer surprise many moving part mysterious guardian play role technical compelling enough much railroaded good ending still interesting epic compared game expectation set much higher act brilliant conclusion still one best crpgs ever buy play temper expectation act set game hold insane standard quality honestly okay even hour quality treasure loved
37,It was an honor to finally meet Baldur. (The one that built the gate),120.66666666666667,0,1,14,honor finally meet baldur one built gate
38,"Baldur's Gate 3 is a reminder of what the Golden Age of gaming used to be like. 
No microtransactions, no season pass, no subscription, no content-cut DLC. 

What you buy is what you get, and what you get is the best cRPG and one of the best RPG's ever created.

I'm buying this game on GOG too, just to support Larian. Thank you!",38.25,142,1,63,baldur gate reminder golden age gaming used like microtransactions season pas subscription content cut dlc buy get get best crpg one best rpg ever created buying game gog support larian thank
39,This game is crack for people with ADHD... You WILL lose hundreds of hours to it.,432.71666666666664,0,1,16,game crack people adhd lose hundred hour
40,d&d but you don't need friends and everyone is extremely horny,37.15,235,1,11,need friend everyone extremely horny
41,"This is the best videogame I have played in decades. I feel like I curled up with a great book for 281 hours while binge-watching an epic series, all while playing a game that felt challenging but also super rewarding. The storytelling is amazing! There is actual character development, and things don't always go the way you expect they will when you start off.

Things you experience in the first act come back around way later (in my case over 100 hours later) and your choices MATTER. Playing this at the same time as a lot of my friends (and activity feed) was especially fun because everyone had a totally different experience, which means that there is solid replay value here. {I am already planning my next-- and the next after that -- playthrough!)

It's not 100% perfect, the UI and particularly inventory and party management systems could be less cumbersome (and if Larian doesn't take care of that, I am sure the modding community will) but it is damn close! With years in early access, the first act has clearly been tested much more than what follows, and there are some buggy experiences. But, wow, what experiences they are! This game is so dense in Act 3 that it almost is a little overwhelming. 

Baldur's Gate 3 IS the most polished game I've played in ages, and for once I don't feel like I bought half a game and will be buying the rest of the game later, one dlc at a time.",281.0833333333333,0,1,254,best videogame played decade feel like curled great book hour binge watching epic series playing game felt challenging also super rewarding storytelling amazing actual character development thing always go way expect start thing experience first act come back around way later case hour later choice matter playing time lot friend activity feed especially fun everyone totally different experience mean solid replay value already planning next next playthrough perfect ui particularly inventory party management system could le cumbersome larian take care sure modding community damn close year early access first act clearly tested much follows buggy experience wow experience game dense act almost little overwhelming baldur gate polished game played age feel like bought half game buying rest game later one dlc time
42,i love my verbally abusive frog wife,46.28333333333333,65,1,7,love verbally abusive frog wife
43,"-No dlc on premiere
-No microtransactions
-No barricaded content on launch
-No mandatory online connection 
10/10

Apart from that awesome characters, interesting world with superb combat, and many path to follow. GOTY candidate",10.566666666666666,98,1,33,dlc premiere microtransactions barricaded content launch mandatory online connection apart awesome character interesting world superb combat many path follow goty candidate
44,"This is not a video game, this is the video game",32.38333333333333,689,1,11,video game video game
45,"baldur's gate 3 really is just a""poking your nose where it doesn't belong"" simulator. it's just me walking anywhere and make whatever is happening there my business for 100hrs and then sometimes you bang hot (and mentally deranged) characters. 2023 GOTY",126.66666666666667,524,1,41,baldur gate really poking nose belong simulator walking anywhere make whatever happening business hr sometimes bang hot mentally deranged character goty
